445520	469851	502910
469851	502910	535240
502910	535240	571733
535240	571733	632975
571733	632975	678145
632975	678145	725438
678145	725438	764183
725438	764183	805710
764183	805710	854866
805710	854866	875695
854866	875695	909004
875695	909004	931400
909004	931400	954712
931400	954712	973486
954712	973486	982597
973486	982597	980280
982597	980280	992923
980280	992923	1001368
992923	1001368	1004455
1001368	1004455	1014951
1004455	1014951	1025455
1014951	1025455	1032852
1025455	1032852	1040716
1032852	1040716	1043674
1040716	1043674	1040802
1043674	1040802	1045244
1040802	1045244	1055509
1045244	1055509	1055345
1055509	1055345	1066080
1055345	1066080	1077254
1066080	1077254	1088624
1077254	1088624	1106148
1088624	1106148	1126485
1106148	1126485	1142953
1126485	1142953	1157005
1142953	1157005	1173603
1157005	1173603	1187034
1173603	1187034	1195464
1187034	1195464	1199707
1195464	1199707	1202069
1199707	1202069	1202820
1202069	1202820	1209212
1202820	1209212	1217359
1209212	1217359	1229789
1217359	1229789	1240172
1229789	1240172	1249905
1240172	1249905	1266611
1249905	1266611	1281706
1266611	1281706	1293618